日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260401,278A,G-テラドローン,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260330593351.pdf"", ""2026年1月期 通期決算説明会 動画・書き起こし公開のお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/278A_1530_G-テラドローン_2026年1月期 通期決算説明会 動画・書き起こし公開のお知らせ.pdf"", ""2026年1月期 通期決算説明会 動画・書き起こし公開のお知らせ"")",,,,,18,19 20,,,,,23,,,,,,,,28,,,4,,https://www.release.tdnet.info/inbs/140120260330593351.pdf
20260401,4238,ミライアル,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596420.pdf"", ""(訂正)「2026年1月期 決算説明資料」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260401/4238_1430_ミライアル_(訂正)「2026年1月期 決算説明資料」の一部訂正について.pdf"", ""(訂正)「2026年1月期 決算説明資料」の一部訂正について"")",,22,,,,,,,,,,,,,16,11,,,,,,6,,https://www.release.tdnet.info/inbs/140120260401596420.pdf
20260401,2927,AFC-HD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260331594927.pdf"", ""連結子会社株式会社さいか屋の業績予想の上方修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/2927_1530_AFC-HD_連結子会社株式会社さいか屋の業績予想の上方修正に関するお知らせ.pdf"", ""連結子会社株式会社さいか屋の業績予想の上方修正に関するお知らせ"")",,,,,,,1 2,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260331594927.pdf
20260401,3565,アセンテック,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596410.pdf"", ""(訂正)「2026年1月期 決算説明会資料」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260401/3565_1530_アセンテック_(訂正)「2026年1月期 決算説明会資料」の一部訂正について.pdf"", ""(訂正)「2026年1月期 決算説明会資料」の一部訂正について"")",,,,,,,20,,,,8,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596410.pdf
20260401,3565,アセンテック,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260331594988.pdf"", ""(訂正・数値データ訂正)「2026年1月期 決算短信〔日本基準〕(連結)」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260401/3565_1530_アセンテック_(訂正・数値データ訂正)「2026年1月期 決算短信〔日本基準〕(連結)」の一部訂正について.pdf"", ""(訂正・数値データ訂正)「2026年1月期 決算短信〔日本基準〕(連結)」の一部訂正について"")",,,,,,,,,,,5,,,,,,,,,,,6,,https://www.release.tdnet.info/inbs/140120260331594988.pdf
20260401,4238,ミライアル,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401595900.pdf"", ""(訂正・数値データ訂正)「2026年1月期決算短信〔日本基準〕(連結)」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260401/4238_1430_ミライアル_(訂正・数値データ訂正)「2026年1月期決算短信〔日本基準〕(連結)」の一部訂正について.pdf"", ""(訂正・数値データ訂正)「2026年1月期決算短信〔日本基準〕(連結)」の一部訂正について"")",,,,,,,,,,,,,,,6,,,,,,,5,,https://www.release.tdnet.info/inbs/140120260401595900.pdf
20260401,6857,アドバンテス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596699.pdf"", ""2031年満期ユーロ円建転換社債型新株予約権付社債の発行に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/6857_1605_アドバンテス_2031年満期ユーロ円建転換社債型新株予約権付社債の発行に関するお知らせ.pdf"", ""2031年満期ユーロ円建転換社債型新株予約権付社債の発行に関するお知らせ"")",,,,,,,,,,,,,,,,,,,14,,,2,,https://www.release.tdnet.info/inbs/140120260401596699.pdf
20260401,8254,さいか屋,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260330592956.pdf"", ""業績予想の上方修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/8254_1530_さいか屋_業績予想の上方修正に関するお知らせ.pdf"", ""業績予想の上方修正に関するお知らせ"")",,,,,,,1 2,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260330592956.pdf
20260401,247A,G-Aiロボティクス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596160.pdf"", ""株式会社BJCの株式取得に関する補足説明資料"")","=HYPERLINK(""pdf_tmp/20260401/247A_1630_G-Aiロボティクス_株式会社BJCの株式取得に関する補足説明資料.pdf"", ""株式会社BJCの株式取得に関する補足説明資料"")",,,,,,,,,,,7,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596160.pdf
20260401,2972,R-サンケイRE,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260327591031.pdf"", ""(開示事項の経過)テナントの異動(主要取引先との貸借の解消(一部を除く))に関するお知らせ(福岡グリーンビルディング)"")","=HYPERLINK(""pdf_tmp/20260401/2972_1530_R-サンケイRE_(開示事項の経過)テナントの異動(主要取引先との貸借の解消(一部を除く))に関するお知らせ(福岡グリーンビルディング).pdf"", ""(開示事項の経過)テナントの異動(主要取引先との貸借の解消(一部を除く))に関するお知らせ(福岡グリーンビルディング)"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260327591031.pdf
20260401,3696,セレス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596430.pdf"", ""株式会社SQUIZの株式取得補足資料"")","=HYPERLINK(""pdf_tmp/20260401/3696_1700_セレス_株式会社SQUIZの株式取得補足資料.pdf"", ""株式会社SQUIZの株式取得補足資料"")",,,,,,,,,,,,,,,,,,,,,,9,,https://www.release.tdnet.info/inbs/140120260401596430.pdf
20260401,3697,SHIFT,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596458.pdf"", ""(開示事項の経過)当社子会社(株式会社SHIFTグロース・キャピタル)を通じた株式会社ニッセイコムの株式取得の完了に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/3697_1530_SHIFT_(開示事項の経過)当社子会社(株式会社SHIFTグロース・キャピタル)を通じた株式会社ニッセイコムの株式取得の完了に関するお知らせ.pdf"", ""(開示事項の経過)当社子会社(株式会社SHIFTグロース・キャピタル)を通じた株式会社ニッセイコムの株式取得の完了に関するお知らせ"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596458.pdf
20260401,4264,G-セキュア,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401595644.pdf"", ""子会社の異動(株式取得)完了に関するお知らせ(開示事項の経過)"")","=HYPERLINK(""pdf_tmp/20260401/4264_1530_G-セキュア_子会社の異動(株式取得)完了に関するお知らせ(開示事項の経過).pdf"", ""子会社の異動(株式取得)完了に関するお知らせ(開示事項の経過)"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401595644.pdf
20260401,5139,G-オープンワーク,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596080.pdf"", ""2025年12月期 通期決算後の主な質疑応答"")","=HYPERLINK(""pdf_tmp/20260401/5139_1700_G-オープンワーク_2025年12月期 通期決算後の主な質疑応答.pdf"", ""2025年12月期 通期決算後の主な質疑応答"")",,,,,,,,,,,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596080.pdf
20260401,5271,トーヨーアサノ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260330593128.pdf"", ""業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/5271_1530_トーヨーアサノ_業績予想の修正に関するお知らせ.pdf"", ""業績予想の修正に関するお知らせ"")",,,,,,,,,,,,,,,,,,,1,,,,,https://www.release.tdnet.info/inbs/140120260330593128.pdf
20260401,6430,ダイコク電,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401595611.pdf"", ""子会社設立及び新たな事業の開始に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/6430_1200_ダイコク電_子会社設立及び新たな事業の開始に関するお知らせ.pdf"", ""子会社設立及び新たな事業の開始に関するお知らせ"")",,,,,,,,,,,,,,,,1,,,,,,,,https://www.release.tdnet.info/inbs/140120260401595611.pdf
20260401,6857,アドバンテス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596712.pdf"", ""ユーロ円CB発行に関する補足説明資料"")","=HYPERLINK(""pdf_tmp/20260401/6857_1605_アドバンテス_ユーロ円CB発行に関する補足説明資料.pdf"", ""ユーロ円CB発行に関する補足説明資料"")",,,,,,,,,,,,,,,,,,,,,,4,,https://www.release.tdnet.info/inbs/140120260401596712.pdf
20260401,7063,G-Birdman,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596446.pdf"", ""中期経営計画"")","=HYPERLINK(""pdf_tmp/20260401/7063_1400_G-Birdman_中期経営計画.pdf"", ""中期経営計画"")",,,,,,,,,,,7,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596446.pdf
20260401,7975,リヒトラブ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260331594940.pdf"", ""2026年2月期通期連結業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/7975_1530_リヒトラブ_2026年2月期通期連結業績予想の修正に関するお知らせ.pdf"", ""2026年2月期通期連結業績予想の修正に関するお知らせ"")",,,1,,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260331594940.pdf
20260401,8074,YUASA,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260401596434.pdf"", ""長期ビジョン「YUASA vision 370」および中期経営計画「Reborn 2031」策定のお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/8074_1500_YUASA_長期ビジョン「YUASA vision 370」および中期経営計画「Reborn 2031」策定のお知らせ.pdf"", ""長期ビジョン「YUASA vision 370」および中期経営計画「Reborn 2031」策定のお知らせ"")",,,,,,,,,,,32,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260401596434.pdf
20260401,8217,オークワ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260325589204.pdf"", ""減損損失の計上及び業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/8217_1530_オークワ_減損損失の計上及び業績予想の修正に関するお知らせ.pdf"", ""減損損失の計上及び業績予想の修正に関するお知らせ"")",,,,,,,,,,,,,2,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260325589204.pdf
20260401,8386,百十四銀,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260330593288.pdf"", ""新中期経営計画の策定について"")","=HYPERLINK(""pdf_tmp/20260401/8386_1500_百十四銀_新中期経営計画の策定について.pdf"", ""新中期経営計画の策定について"")",,,,,,,,,,,,,,,,,,,,,,26,,https://www.release.tdnet.info/inbs/140120260330593288.pdf
20260401,8891,AMGHD,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260330592604.pdf"", ""業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/8891_0900_AMGHD_業績予想の修正に関するお知らせ.pdf"", ""業績予想の修正に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260330592604.pdf
20260401,8953,R-都市ファンド,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260331595028.pdf"", ""国内不動産信託受益権の譲渡完了【イオンモール鶴見緑地(準共有持分25%)】並びに売却益及び譲渡資金の活用方針に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260401/8953_1530_R-都市ファンド_国内不動産信託受益権の譲渡完了【イオンモール鶴見緑地(準共有持分25%)】並びに売却益及び譲渡資金の活用方針に関するお知らせ.pdf"", ""国内不動産信託受益権の譲渡完了【イオンモール鶴見緑地(準共有持分25%)】並びに売却益及び譲渡資金の活用方針に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260331595028.pdf
