日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260422,2798,Y’s,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508092.pdf"", ""2026年2月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260422/2798_1300_Y’s_2026年2月期 決算説明資料.pdf"", ""2026年2月期 決算説明資料"")",,,,,9 12 19,,,,,4,,,4,,,,,,4 11 12,,,,,https://www.release.tdnet.info/inbs/140120260422508092.pdf
20260422,555A,P-北王GROUP,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260416505632.pdf"", ""東京証券取引所 TOKYO PRO Mareket 上場に伴う当社決算情報等のお知らせ"")","=HYPERLINK(""pdf_tmp/20260422/555A_0800_P-北王GROUP_東京証券取引所 TOKYO PRO Mareket 上場に伴う当社決算情報等のお知らせ.pdf"", ""東京証券取引所 TOKYO PRO Mareket 上場に伴う当社決算情報等のお知らせ"")",,,,6,,,,,,,6,,,,,1,,,,,,,,https://www.release.tdnet.info/inbs/140120260416505632.pdf
20260422,6492,岡野バル,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508045.pdf"", ""業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260422/6492_1530_岡野バル_業績予想の修正に関するお知らせ.pdf"", ""業績予想の修正に関するお知らせ"")",,,,,,,,,,,2,2,,2,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260422508045.pdf
20260422,7674,G-NATTYHD,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422507895.pdf"", ""事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260422/7674_1600_G-NATTYHD_事業計画及び成長可能性に関する事項.pdf"", ""事業計画及び成長可能性に関する事項"")",,,,,,,,,,29,,,,,,11,,,38,,,,,https://www.release.tdnet.info/inbs/140120260422507895.pdf
20260422,8961,R-森トラスト,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508149.pdf"", ""2026年2月期(第48期)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260422/8961_1530_R-森トラスト_2026年2月期(第48期)決算説明資料.pdf"", ""2026年2月期(第48期)決算説明資料"")",,,,,,,16,,,,7 8 19 52,,,,,,,,6 7 16 17 23 24 72,,,,,https://www.release.tdnet.info/inbs/140120260422508149.pdf
20260422,4413,ボードルア,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508490.pdf"", ""2026年2月期 通期決算説明会書き起こし"")","=HYPERLINK(""pdf_tmp/20260422/4413_1800_ボードルア_2026年2月期 通期決算説明会書き起こし.pdf"", ""2026年2月期 通期決算説明会書き起こし"")",,,,,,,16 17 21,,,,,16,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260422508490.pdf
20260422,4556,カイノス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508125.pdf"", ""株式併合、単元株式数の定めの廃止及び定款の一部変更に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260422/4556_1530_カイノス_株式併合、単元株式数の定めの廃止及び定款の一部変更に関するお知らせ.pdf"", ""株式併合、単元株式数の定めの廃止及び定款の一部変更に関するお知らせ"")",7 19,,,,,,,,,,14 16 19 21,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260422508125.pdf
20260422,1662,石油資源,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508113.pdf"", ""「JAPEX 経営計画2026-2035」の策定について"")","=HYPERLINK(""pdf_tmp/20260422/1662_1400_石油資源_「JAPEX 経営計画2026-2035」の策定について.pdf"", ""「JAPEX 経営計画2026-2035」の策定について"")",,,,,,,,,,,15 33,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260422508113.pdf
20260422,3232,三重交通GHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260421507820.pdf"", ""個別決算における特別損失の計上に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260422/3232_1530_三重交通GHD_個別決算における特別損失の計上に関するお知らせ.pdf"", ""個別決算における特別損失の計上に関するお知らせ"")",,,,,,,,,,,,,,,,,,,1,,,,,https://www.release.tdnet.info/inbs/140120260421507820.pdf
20260422,5576,オービーシステム,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260420507089.pdf"", ""2026年3月期 通期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260422/5576_1600_オービーシステム_2026年3月期 通期決算補足説明資料.pdf"", ""2026年3月期 通期決算補足説明資料"")",,,,,,,,,,,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260420507089.pdf
20260422,558A,G-SQUEEZE,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260421507573.pdf"", ""事業計画及び成長可能性に関する事項について"")","=HYPERLINK(""pdf_tmp/20260422/558A_0800_G-SQUEEZE_事業計画及び成長可能性に関する事項について.pdf"", ""事業計画及び成長可能性に関する事項について"")",,,,,,,,,,,22 24 62,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260421507573.pdf
20260422,8060,キヤノンMJ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260421507582.pdf"", ""2026年12月期 第1四半期決算短信[日本基準](連結)"")","=HYPERLINK(""pdf_tmp/20260422/8060_1530_キヤノンMJ_2026年12月期 第1四半期決算短信[日本基準](連結).pdf"", ""2026年12月期 第1四半期決算短信[日本基準](連結)"")",,,,,,,,,,,4 5,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260421507582.pdf
20260422,8060,キヤノンMJ,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260421507583.pdf"", ""2026年12月期 第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260422/8060_1530_キヤノンMJ_2026年12月期 第1四半期決算説明資料.pdf"", ""2026年12月期 第1四半期決算説明資料"")",,,,,,,,,,,,,,3,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260421507583.pdf
20260422,8961,R-森トラスト,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508077.pdf"", ""2026年2月期 決算短信(REIT)"")","=HYPERLINK(""pdf_tmp/20260422/8961_1530_R-森トラスト_2026年2月期 決算短信(REIT).pdf"", ""2026年2月期 決算短信(REIT)"")",,,,,,,,,,,,,,,,,,,6,,,,,https://www.release.tdnet.info/inbs/140120260422508077.pdf
