日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260615,9279,ギフトHD,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570443.pdf"", ""2026年10月期第2四半期(中間期)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/9279_1530_ギフトHD_2026年10月期第2四半期(中間期)決算説明資料.pdf"", ""2026年10月期第2四半期(中間期)決算説明資料"")",,,24,,,,15 23 56,56,,,7,8 15,,,,,,,,,,40,,https://www.release.tdnet.info/inbs/140120260615570443.pdf
20260615,3434,アルファCo,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570587.pdf"", ""2026年3月期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/3434_1300_アルファCo_2026年3月期決算説明資料.pdf"", ""2026年3月期決算説明資料"")",,,,15,,,,,,33,19,,,,,,,,,,20 28,26 27,,https://www.release.tdnet.info/inbs/140120260615570587.pdf
20260615,1383,ベルグアース,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615571026.pdf"", ""2026年10月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260615/1383_1700_ベルグアース_2026年10月期 第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年10月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,6,4,6,,,,,,,,,,,,4,,,,,,,https://www.release.tdnet.info/inbs/140120260615571026.pdf
20260615,278A,G-テラドローン,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260612569743.pdf"", ""資金調達に関する補足説明資料"")","=HYPERLINK(""pdf_tmp/20260615/278A_1600_G-テラドローン_資金調達に関する補足説明資料.pdf"", ""資金調達に関する補足説明資料"")",,,,,,,,9,,,3 6 22 27,,,,,,,,22,,,17 20,,https://www.release.tdnet.info/inbs/140120260612569743.pdf
20260615,3134,Hamee,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570699.pdf"", ""中期経営計画の策定に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260615/3134_1530_Hamee_中期経営計画の策定に関するお知らせ.pdf"", ""中期経営計画の策定に関するお知らせ"")",,,,,25,,,,,9,9 21,,,,,,,,,,,19 30,,https://www.release.tdnet.info/inbs/140120260615570699.pdf
20260615,3287,R-星野,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570251.pdf"", ""2026年4月期(第26期)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/3287_1530_R-星野_2026年4月期(第26期)決算説明資料.pdf"", ""2026年4月期(第26期)決算説明資料"")",,,,,,,,,,,12 14 44,,,,,,12,13,11 29,,,,,https://www.release.tdnet.info/inbs/140120260615570251.pdf
20260615,442A,G-クラシコ,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260613570167.pdf"", ""2026年10月期第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/442A_1530_G-クラシコ_2026年10月期第2四半期決算説明資料.pdf"", ""2026年10月期第2四半期決算説明資料"")",,,,39,,,,,,,4 8 11 18,,,,,,,,4 5 12 13,,,11,,https://www.release.tdnet.info/inbs/140120260613570167.pdf
20260615,2315,CAICA D,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260612569866.pdf"", ""2026年10月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260615/2315_1530_CAICA D_2026年10月期第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年10月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,,,,,,,,,1,,8,,,,,,5,,,,,https://www.release.tdnet.info/inbs/140120260612569866.pdf
20260615,278A,G-テラドローン,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260612569753.pdf"", ""2027年1月期 第1四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/278A_1600_G-テラドローン_2027年1月期 第1四半期 決算説明資料.pdf"", ""2027年1月期 第1四半期 決算説明資料"")",,,,,,,,,,,24 37,,,,,,,,17,,,15 19 33,,https://www.release.tdnet.info/inbs/140120260612569753.pdf
20260615,278A,G-テラドローン,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260612569393.pdf"", ""第三者割当による第18回新株予約権乃至第22回新株予約権(行使価額修正条項付)及び第23回新株予約権乃至第27回新株予約権の発行に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260615/278A_1600_G-テラドローン_第三者割当による第18回新株予約権乃至第22回新株予約権(行使価額修正条項付)及び第23回新株予約権乃至第27回新株予約権の発行に関するお知らせ.pdf"", ""第三者割当による第18回新株予約権乃至第22回新株予約権(行使価額修正条項付)及び第23回新株予約権乃至第27回新株予約権の発行に関するお知らせ"")",,,,,,11,,9 10 11,,,,,,,,,,,,,,15,,https://www.release.tdnet.info/inbs/140120260612569393.pdf
20260615,3134,Hamee,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570696.pdf"", ""2026年4月期本決算 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/3134_1530_Hamee_2026年4月期本決算 決算説明資料.pdf"", ""2026年4月期本決算 決算説明資料"")",,,,,,,,,,,17 27,,,,,,,,38,,,18 23,,https://www.release.tdnet.info/inbs/140120260615570696.pdf
20260615,4026,神島化学工業,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260612569622.pdf"", ""2026年4月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260615/4026_1000_神島化学工業_2026年4月期 決算説明資料.pdf"", ""2026年4月期 決算説明資料"")",,,12,5 6 7 12,,,,,,,15,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260612569622.pdf
20260615,7110,G-クラシコム,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260610567239.pdf"", ""2026年7月期 第3四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260615/7110_1530_G-クラシコム_2026年7月期 第3四半期決算補足説明資料.pdf"", ""2026年7月期 第3四半期決算補足説明資料"")",,,,,23,26,,,,26,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260610567239.pdf
20260615,9279,ギフトHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570459.pdf"", ""2026年10月期 2Q決算について想定されるご質問に対する回答"")","=HYPERLINK(""pdf_tmp/20260615/9279_1530_ギフトHD_2026年10月期 2Q決算について想定されるご質問に対する回答.pdf"", ""2026年10月期 2Q決算について想定されるご質問に対する回答"")",,,2,,,,1,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260615570459.pdf
20260615,184A,G-学びエイド,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570693.pdf"", ""2026年4月期 決算短信〔日本基準〕(非連結)"")","=HYPERLINK(""pdf_tmp/20260615/184A_1600_G-学びエイド_2026年4月期 決算短信〔日本基準〕(非連結).pdf"", ""2026年4月期 決算短信〔日本基準〕(非連結)"")",,,,,,4,,,,4,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260615570693.pdf
