日付,時刻,コード,会社名,表題（リンク_TDnet）,表題（リンク_ローカル）,キーワード,ヒットページ数,記述されているページ,分類,URL（生）
20260212,15:30,4060,G-rakumo,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260122537281.pdf"", ""2025年度12月期 通期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4060_1530_G-rakumo_2025年度12月期 通期決算説明資料.pdf"", ""2025年度12月期 通期決算説明資料"")",価格改定 大幅 悪化,18,3 4 16 17 20 22 23 26 27 30 31 32 33 41 42 44 47 48,説明資料,https://www.release.tdnet.info/inbs/140120260122537281.pdf
20260212,15:30,6524,湖北工業,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556984.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/6524_1530_湖北工業_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",大幅 未達 想定以上 レアアース グローバルニッチトップ シェア拡大 価格転嫁,16,11 14 15 18 20 23 26 27 28 29 30 35 38 40 41 50,説明資料,https://www.release.tdnet.info/inbs/140120260212556984.pdf
20260212,15:00,2982,ADワークスグループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557119.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/2982_1500_ADワークスグループ_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",上方修正 需要の回復 シェア拡大 大幅 計画を上,14,5 8 9 11 20 24 27 28 29 31 32 33 41 45,説明資料,https://www.release.tdnet.info/inbs/140120260212557119.pdf
20260212,16:00,1762,高松G,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555827.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/1762_1600_高松G_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 悪化,13,5 6 8 9 11 12 13 14 15 16 17 18 19,説明資料,https://www.release.tdnet.info/inbs/140120260212555827.pdf
20260212,12:00,2170,LINK&M,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556080.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/2170_1200_LINK&M_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",大幅 シェア拡大,12,2 8 9 10 12 13 14 19 20 40 47 50,説明資料,https://www.release.tdnet.info/inbs/140120260212556080.pdf
20260212,15:30,4527,ロート薬,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556312.pdf"", ""2026年3月期第3四半期決算説明会(2025年4月~12月)"")","=HYPERLINK(""pdf_tmp/20260212/4527_1530_ロート薬_2026年3月期第3四半期決算説明会(2025年4月~12月).pdf"", ""2026年3月期第3四半期決算説明会(2025年4月~12月)"")",上方修正 大幅 計画を上 未達 下方修正 悪化 値上,12,4 5 6 10 11 12 13 15 16 17 18 23,その他,https://www.release.tdnet.info/inbs/140120260212556312.pdf
20260212,15:30,4811,G-ドリーム・アーツ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555772.pdf"", ""2025年12月期 通期決算説明資料(事業計画及び成長可能性に関する事項)"")","=HYPERLINK(""pdf_tmp/20260212/4811_1530_G-ドリーム・アーツ_2025年12月期 通期決算説明資料(事業計画及び成長可能性に関する事項).pdf"", ""2025年12月期 通期決算説明資料(事業計画及び成長可能性に関する事項)"")",未達 計画を上 大幅 トップシェア,12,5 11 17 22 23 26 30 39 40 78 83 89,事業計画,https://www.release.tdnet.info/inbs/140120260212555772.pdf
20260212,16:30,3538,ウイルプラスHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557202.pdf"", ""2026年6月期第2四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3538_1630_ウイルプラスHD_2026年6月期第2四半期 決算補足説明資料.pdf"", ""2026年6月期第2四半期 決算補足説明資料"")",悪化 大幅,11,5 6 7 12 14 17 20 21 24 60 61,説明資料,https://www.release.tdnet.info/inbs/140120260212557202.pdf
20260212,16:00,5029,G-サークレイス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554255.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/5029_1600_G-サークレイス_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 悪化 シェア拡大,11,14 16 21 22 24 45 46 65 66 70 72,説明資料,https://www.release.tdnet.info/inbs/140120260210554255.pdf
20260212,16:00,7359,G-東京通信G,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260211555090.pdf"", ""2025年12月期 決算説明資料・事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260212/7359_1600_G-東京通信G_2025年12月期 決算説明資料・事業計画及び成長可能性に関する事項.pdf"", ""2025年12月期 決算説明資料・事業計画及び成長可能性に関する事項"")",上方修正 大幅 計画を上 計画を下 計画以 増産 シェア拡大 悪化,10,2 7 14 18 30 34 37 62 65 70,事業計画,https://www.release.tdnet.info/inbs/140120260211555090.pdf
