日付,時刻,コード,会社名,表題（リンク_TDnet）,表題（リンク_ローカル）,キーワード,ヒットページ数,記述されているページ,分類,URL（生）
20260213,19:15,4974,タカラバイオ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213562303.pdf"", ""親会社である宝ホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ"")","=HYPERLINK(""pdf_tmp/20260213/4974_1915_タカラバイオ_親会社である宝ホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ.pdf"", ""親会社である宝ホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ"")",未達 下方修正 大幅 想定以上 悪化 上方修正 計画を上 価格交渉,23,6 7 9 10 22 26 27 28 29 31 32 34 35 40 55 58 59 64 70 71 72 75 76,その他,https://www.release.tdnet.info/inbs/140120260213562303.pdf
20260213,11:30,7409,G-AeroEdge,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556579.pdf"", ""2026年6月期 第2四半期 決算補足資料"")","=HYPERLINK(""pdf_tmp/20260213/7409_1130_G-AeroEdge_2026年6月期 第2四半期 決算補足資料.pdf"", ""2026年6月期 第2四半期 決算補足資料"")",増産 上方修正 シェア拡大 大幅 想定以上,21,3 5 8 10 11 12 13 14 16 18 19 20 21 22 23 24 25 27 28 30 32,その他,https://www.release.tdnet.info/inbs/140120260212556579.pdf
20260213,19:15,2531,宝HLD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213560620.pdf"", ""タカラバイオ株式会社株式(証券コード:4974)に対する公開買付けの開始に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260213/2531_1915_宝HLD_タカラバイオ株式会社株式(証券コード_4974)に対する公開買付けの開始に関するお知らせ.pdf"", ""タカラバイオ株式会社株式(証券コード:4974)に対する公開買付けの開始に関するお知らせ"")",未達 下方修正 大幅 悪化 想定以上 上方修正 計画を上 価格交渉,19,3 4 5 13 16 18 19 24 26 27 30 31 36 40 41 42 43 44 47,その他,https://www.release.tdnet.info/inbs/140120260213560620.pdf
20260213,02:40,3546,アレンザHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213558862.pdf"", ""コーナン商事株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに資本業務提携契約の締結に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260213/3546_0240_アレンザHD_コーナン商事株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに資本業務提携契約の締結に関するお知らせ.pdf"", ""コーナン商事株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに資本業務提携契約の締結に関するお知らせ"")",シェア拡大 大幅,18,9 15 16 20 21 27 29 56 58 78 83 84 87 88 94 102 103 121,その他,https://www.release.tdnet.info/inbs/140120260213558862.pdf
20260213,16:00,9218,G-メンタルヘルスT,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213561963.pdf"", ""2025年12月期通期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260213/9218_1600_G-メンタルヘルスT_2025年12月期通期決算説明資料.pdf"", ""2025年12月期通期決算説明資料"")",価格転嫁 下方修正 大幅 未達 値上 想定以上 悪化,18,4 6 7 8 9 12 13 17 21 25 33 39 40 64 65 66 67 68,説明資料,https://www.release.tdnet.info/inbs/140120260213561963.pdf
20260213,15:30,3923,ラクス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213559253.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260213/3923_1530_ラクス_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",大幅 計画を下 価格改定 上方修正 シェア拡大 トップシェア,16,6 10 12 17 19 20 22 35 37 38 50 58 59 60 68 72,説明資料,https://www.release.tdnet.info/inbs/140120260213559253.pdf
20260213,15:40,4919,ミルボン,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260206550774.pdf"", ""2025年12月期(第66期)株式会社ミルボン決算説明資料"")","=HYPERLINK(""pdf_tmp/20260213/4919_1540_ミルボン_2025年12月期(第66期)株式会社ミルボン決算説明資料.pdf"", ""2025年12月期(第66期)株式会社ミルボン決算説明資料"")",価格改定 下方修正 未達 計画を上 計画以 大幅 計画を下 上方修正,16,3 4 5 6 7 9 10 11 12 13 15 20 29 34 35 45,説明資料,https://www.release.tdnet.info/inbs/140120260206550774.pdf
20260213,15:30,4985,アース製薬,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213561320.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260213/4985_1530_アース製薬_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",価格改定 上方修正 価格転嫁 大幅 計画を下 シェア拡大 未達 計画を上,14,2 4 5 6 7 9 11 12 13 18 20 27 28 38,説明資料,https://www.release.tdnet.info/inbs/140120260213561320.pdf
20260213,14:00,6229,オーケーエム,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260213560454.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260213/6229_1400_オーケーエム_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",上方修正 大幅 計画を下 需要が増 トップシェア 増産,14,2 14 15 16 21 22 23 29 31 35 39 42 49 50,説明資料,https://www.release.tdnet.info/inbs/140120260213560454.pdf
20260213,15:30,2579,コカ・コーラBJH,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212558519.pdf"", ""2025年 通期 決算説明会"")","=HYPERLINK(""pdf_tmp/20260213/2579_1530_コカ・コーラBJH_2025年 通期 決算説明会.pdf"", ""2025年 通期 決算説明会"")",上方修正 大幅 価格改定 計画を上,12,3 5 7 8 9 10 13 14 17 18 20 25,その他,https://www.release.tdnet.info/inbs/140120260212558519.pdf
