日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260813,5590,G-ネットスターズ,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519485.pdf"", ""2026年12月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/5590_1530_G-ネットスターズ_2026年12月期 第2四半期決算説明資料.pdf"", ""2026年12月期 第2四半期決算説明資料"")",,,,,,2 19,,,,20 26,26 55,2 19,22,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260813519485.pdf
20260813,9731,白洋舎,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519259.pdf"", ""2026年12月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/9731_1530_白洋舎_2026年12月期 第2四半期決算説明資料.pdf"", ""2026年12月期 第2四半期決算説明資料"")",,,7 13 15,15,,,,,,13,,,,,,,,,6,,,17,,https://www.release.tdnet.info/inbs/140120260813519259.pdf
20260813,150A,G-JSH,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260812517598.pdf"", ""2027年3月期第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/150A_1530_G-JSH_2027年3月期第1四半期決算説明資料.pdf"", ""2027年3月期第1四半期決算説明資料"")",,,,,17 43,,6 7 8,,,,6 8 10 13,,,,,,,,53 54,,,,,https://www.release.tdnet.info/inbs/140120260812517598.pdf
20260813,151A,G-ダイブグループ,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260812518181.pdf"", ""「2026年6月期 通期決算説明資料」に関する動画書き起こし"")","=HYPERLINK(""pdf_tmp/20260813/151A_1530_G-ダイブグループ_「2026年6月期 通期決算説明資料」に関する動画書き起こし.pdf"", ""「2026年6月期 通期決算説明資料」に関する動画書き起こし"")",,,,,,,,,,8,4,8,,,,,,,,,,4,,https://www.release.tdnet.info/inbs/140120260812518181.pdf
20260813,195A,G-MUSCAT G,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519097.pdf"", ""2027年3月期 第1四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/195A_1513_G-MUSCAT G_2027年3月期 第1四半期 決算説明資料.pdf"", ""2027年3月期 第1四半期 決算説明資料"")",,,,,,,,,,32,20,25 26 27,,,,,,,20 25 31 32,,,,,https://www.release.tdnet.info/inbs/140120260813519097.pdf
20260813,3182,オイシックス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519374.pdf"", ""2027年3月期 第1四半期決算FAQ"")","=HYPERLINK(""pdf_tmp/20260813/3182_1530_オイシックス_2027年3月期 第1四半期決算FAQ.pdf"", ""2027年3月期 第1四半期決算FAQ"")",,,,,25 26 28,,2 5 6 9,,,,5,,,,,,,,12 24,,,,,https://www.release.tdnet.info/inbs/140120260813519374.pdf
20260813,3182,オイシックス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519368.pdf"", ""2027年3月期 第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/3182_1530_オイシックス_2027年3月期 第1四半期決算説明資料.pdf"", ""2027年3月期 第1四半期決算説明資料"")",,,,,4 15,10,4 25 29 30,,,,23,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260813519368.pdf
20260813,3660,アイスタイル,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519067.pdf"", ""2026年6月期通期決算及び2027年6月期事業計画について"")","=HYPERLINK(""pdf_tmp/20260813/3660_1530_アイスタイル_2026年6月期通期決算及び2027年6月期事業計画について.pdf"", ""2026年6月期通期決算及び2027年6月期事業計画について"")",,,,,,,,,,9,30,12,14,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260813519067.pdf
20260813,3696,セレス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813518901.pdf"", ""2026年12月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/3696_1200_セレス_2026年12月期 第2四半期決算説明資料.pdf"", ""2026年12月期 第2四半期決算説明資料"")",,,,,,15,4 17,,,,4 6 8 12 13 27 39,,,,,,,,,,,28,,https://www.release.tdnet.info/inbs/140120260813518901.pdf
20260813,4180,Appier,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260812518728.pdf"", ""2026年12月期 第2四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/4180_1530_Appier_2026年12月期 第2四半期 決算説明資料.pdf"", ""2026年12月期 第2四半期 決算説明資料"")",,,,,,,15,,,,9 12 15,14,,,,,,,,,,17 18,,https://www.release.tdnet.info/inbs/140120260812518728.pdf
20260813,6030,G-アドベンチャー,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260813519636.pdf"", ""2026年6月期第4四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260813/6030_1530_G-アドベンチャー_2026年6月期第4四半期 決算説明資料.pdf"", ""2026年6月期第4四半期 決算説明資料"")",,,,,,13,,,,,10 15,,,,,,22,,6 11 13 14 15,,,,,https://www.release.tdnet.info/inbs/140120260813519636.pdf
