日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260603,4116,大日精化,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602559996.pdf"", ""2026年3月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260603/4116_1200_大日精化_2026年3月期 決算説明会資料.pdf"", ""2026年3月期 決算説明会資料"")",,,10 21 33 36 45,17 20 21 22,,,36,,,,33 45,,,,,,,,17,,,,,https://www.release.tdnet.info/inbs/140120260602559996.pdf
20260603,7046,G-TDSE,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260529555602.pdf"", ""2026年3月期決算および 新中期経営計画「SHIFT2028」 説明会資料"")","=HYPERLINK(""pdf_tmp/20260603/7046_1645_G-TDSE_2026年3月期決算および 新中期経営計画「SHIFT2028」 説明会資料.pdf"", ""2026年3月期決算および 新中期経営計画「SHIFT2028」 説明会資料"")",,,,,,,,5,,67,7 9 16 17 20 35,5,,38 67,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260529555602.pdf
20260603,3815,G-メディア,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602559451.pdf"", ""コスト削減等の施策の実施及びこれに伴う特別損失の計上並びに通期業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/3815_1530_G-メディア_コスト削減等の施策の実施及びこれに伴う特別損失の計上並びに通期業績予想の修正に関するお知らせ.pdf"", ""コスト削減等の施策の実施及びこれに伴う特別損失の計上並びに通期業績予想の修正に関するお知らせ"")",,,,,,,,,,7,1 7 8 11,,,,,,,,7,,,,,https://www.release.tdnet.info/inbs/140120260602559451.pdf
20260603,5915,駒井ハルテック,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260601558699.pdf"", ""2026年3月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260603/5915_1700_駒井ハルテック_2026年3月期 決算説明資料.pdf"", ""2026年3月期 決算説明資料"")",,,,,,23,,,,,15,,,,,,11 12,,,,,,,https://www.release.tdnet.info/inbs/140120260601558699.pdf
20260603,1871,ピーエス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561571.pdf"", ""(訂正)「2026年3月期決算説明会資料」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260603/1871_1300_ピーエス_(訂正)「2026年3月期決算説明会資料」の一部訂正について.pdf"", ""(訂正)「2026年3月期決算説明会資料」の一部訂正について"")",,,,,,,,,,,19,,,,,,,,,,23,,,https://www.release.tdnet.info/inbs/140120260603561571.pdf
20260603,3083,スターシーズ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602560880.pdf"", ""2027年2月期第2四半期(中間期)業績予想の修正(上方修正)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/3083_1300_スターシーズ_2027年2月期第2四半期(中間期)業績予想の修正(上方修正)に関するお知らせ.pdf"", ""2027年2月期第2四半期(中間期)業績予想の修正(上方修正)に関するお知らせ"")",,,,,,,1,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260602560880.pdf
20260603,342A,F-光貴,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561620.pdf"", ""(訂正)2026年3月期決算短信〔日本基準〕(非連結)の一部訂正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/342A_1500_F-光貴_(訂正)2026年3月期決算短信〔日本基準〕(非連結)の一部訂正に関するお知らせ.pdf"", ""(訂正)2026年3月期決算短信〔日本基準〕(非連結)の一部訂正に関するお知らせ"")",,,,,,,,,,,,6,,,,,,,5,,,,,https://www.release.tdnet.info/inbs/140120260603561620.pdf
20260603,3908,コラボス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561159.pdf"", ""2026年3月期 通期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260603/3908_1500_コラボス_2026年3月期 通期 決算補足説明資料.pdf"", ""2026年3月期 通期 決算補足説明資料"")",,,,,,,,,,14,5 14 15,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260603561159.pdf
20260603,6036,KeePer技研,月次,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561887.pdf"", ""キーパーラボ運営事業とキーパー製品等関連事業の月次速報(5月)"")","=HYPERLINK(""pdf_tmp/20260603/6036_1600_KeePer技研_キーパーラボ運営事業とキーパー製品等関連事業の月次速報(5月).pdf"", ""キーパーラボ運営事業とキーパー製品等関連事業の月次速報(5月)"")",,,,,1,,,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260603561887.pdf
20260603,6768,タムラ製,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602559783.pdf"", ""(訂正・数値データ訂正)「2026年3月期決算短信[日本基準](連結)」の一部訂正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/6768_0830_タムラ製_(訂正・数値データ訂正)「2026年3月期決算短信[日本基準](連結)」の一部訂正に関するお知らせ.pdf"", ""(訂正・数値データ訂正)「2026年3月期決算短信[日本基準](連結)」の一部訂正に関するお知らせ"")",,,,,,,,,,,5 6 22 23,,,,,,5 22,,,,,,,https://www.release.tdnet.info/inbs/140120260602559783.pdf
20260603,7046,G-TDSE,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602559006.pdf"", ""新中期経営計画 SHIFT2028 エッセンス版"")","=HYPERLINK(""pdf_tmp/20260603/7046_1645_G-TDSE_新中期経営計画 SHIFT2028 エッセンス版.pdf"", ""新中期経営計画 SHIFT2028 エッセンス版"")",,,,,,,,,,,1,,,1,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260602559006.pdf
20260603,8057,内田洋行,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260602560867.pdf"", ""2026年7月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260603/8057_1530_内田洋行_2026年7月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年7月期 第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,4,,,,,,5,,,,,,,https://www.release.tdnet.info/inbs/140120260602560867.pdf
20260603,3925,ダブルスタンダード,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260528553293.pdf"", ""(訂正・数値データ訂正)2026年3月期 決算短信[日本基準](連結)の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260603/3925_1130_ダブルスタンダード_(訂正・数値データ訂正)2026年3月期 決算短信[日本基準](連結)の一部訂正について.pdf"", ""(訂正・数値データ訂正)2026年3月期 決算短信[日本基準](連結)の一部訂正について"")",,,,,,,,,,,,,,,,5,,,,,,,,https://www.release.tdnet.info/inbs/140120260528553293.pdf
20260603,4177,G-i-plug,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561410.pdf"", ""2026年5月度 主要KPI(速報)の推移に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/4177_1200_G-i-plug_2026年5月度 主要KPI(速報)の推移に関するお知らせ.pdf"", ""2026年5月度 主要KPI(速報)の推移に関するお知らせ"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260603561410.pdf
20260603,4826,CIJ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603560985.pdf"", ""業績予想及び配当予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260603/4826_1400_CIJ_業績予想及び配当予想の修正に関するお知らせ.pdf"", ""業績予想及び配当予想の修正に関するお知らせ"")",,,,,,,,,,,,1,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260603560985.pdf
