日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260507,6200,インソース,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507518219.pdf"", ""株式会社インソース 26年9月期第2四半期(中間期) 連結業績説明資料"")","=HYPERLINK(""pdf_tmp/20260507/6200_1700_インソース_株式会社インソース 26年9月期第2四半期(中間期) 連結業績説明資料.pdf"", ""株式会社インソース 26年9月期第2四半期(中間期) 連結業績説明資料"")",,,5 18 19 22 31,31,,,20,,,20,11 14,,30,,,,,,,,,14,,https://www.release.tdnet.info/inbs/140120260507518219.pdf
20260507,3064,MRO,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507518072.pdf"", ""2026年12月期 第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260507/3064_1530_MRO_2026年12月期 第1四半期決算説明資料.pdf"", ""2026年12月期 第1四半期決算説明資料"")",,,,,,,,,,,59,21,3 25,,,,,,,,,27,,https://www.release.tdnet.info/inbs/140120260507518072.pdf
20260507,6403,水道機工,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507517435.pdf"", ""株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会招集のお知らせ"")","=HYPERLINK(""pdf_tmp/20260507/6403_1630_水道機工_株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会招集のお知らせ.pdf"", ""株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会招集のお知らせ"")",29,,,,13,,,,,,5 23 24,,,,,,6 19,,,,,,,https://www.release.tdnet.info/inbs/140120260507517435.pdf
20260507,7120,SHINKO,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260501517094.pdf"", ""2026年3月期 決算短信〔日本基準〕(非連結)"")","=HYPERLINK(""pdf_tmp/20260507/7120_1430_SHINKO_2026年3月期 決算短信〔日本基準〕(非連結).pdf"", ""2026年3月期 決算短信〔日本基準〕(非連結)"")",,,,4,,5,,,,,4 6,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260501517094.pdf
20260507,7575,日本ライフライン,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507517742.pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260507/7575_1540_日本ライフライン_2026年3月期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")",,,,,9,,,,,,5 7,,,,,,,,9,,,9,,https://www.release.tdnet.info/inbs/140120260507517742.pdf
20260507,1436,G-グリーンエナジー,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507518056.pdf"", ""業績予想の修正(上方修正)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260507/1436_1531_G-グリーンエナジー_業績予想の修正(上方修正)に関するお知らせ.pdf"", ""業績予想の修正(上方修正)に関するお知らせ"")",,,,,,1,1 2,,,,,1,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260507518056.pdf
20260507,2053,中部飼料,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260501516420.pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260507/2053_1400_中部飼料_2026年3月期 決算短信〔日本基準〕(連結).pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")",,,,,4,,,,,,6,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260501516420.pdf
20260507,4746,東計電算,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260422508112.pdf"", ""令和8年12月期 第1四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260507/4746_1530_東計電算_令和8年12月期 第1四半期決算短信〔日本基準〕(連結).pdf"", ""令和8年12月期 第1四半期決算短信〔日本基準〕(連結)"")",,,,4,,,,,,,,,,,,,4,,4,,,,,https://www.release.tdnet.info/inbs/140120260422508112.pdf
20260507,6200,インソース,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507517761.pdf"", ""2026年9月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260507/6200_1700_インソース_2026年9月期第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年9月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,4,,,,,5,,,,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260507517761.pdf
20260507,8005,スクロール,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260501516356.pdf"", ""2026年3月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260507/8005_1530_スクロール_2026年3月期 決算説明会資料.pdf"", ""2026年3月期 決算説明会資料"")",,,,,10,,,,,,4,,,,,,,,12,,,,,https://www.release.tdnet.info/inbs/140120260501516356.pdf
20260507,8012,長瀬産,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260507517775.pdf"", ""2026年3月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260507/8012_1903_長瀬産_2026年3月期 決算説明資料.pdf"", ""2026年3月期 決算説明資料"")",,,,,,2,,,,,18,,,,,,,,,,,14 17,,https://www.release.tdnet.info/inbs/140120260507517775.pdf
