日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260819,3470,R-マリモリート,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260818522195.pdf"", ""2026年6月期 決算短信(REIT)"")","=HYPERLINK(""pdf_tmp/20260819/3470_1600_R-マリモリート_2026年6月期 決算短信(REIT).pdf"", ""2026年6月期 決算短信(REIT)"")",,,,,4,,,,,,10,,,,,,4,,10,,,,,https://www.release.tdnet.info/inbs/140120260818522195.pdf
20260819,421A,G-ムービン,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260818522424.pdf"", ""2026年12月期 第2四半期決算説明会書き起こし"")","=HYPERLINK(""pdf_tmp/20260819/421A_1530_G-ムービン_2026年12月期 第2四半期決算説明会書き起こし.pdf"", ""2026年12月期 第2四半期決算説明会書き起こし"")",,,,,,5 6 21,4 10 12 22,,,,17,4 10,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260818522424.pdf
20260819,1379,ホクト,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522727.pdf"", ""2027年3月期第1四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260819/1379_1000_ホクト_2027年3月期第1四半期 決算説明資料.pdf"", ""2027年3月期第1四半期 決算説明資料"")",,,,,,,,,,,6,12,,,,,,,,,7,,,https://www.release.tdnet.info/inbs/140120260819522727.pdf
20260819,281A,G-インフォメティス,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260817521863.pdf"", ""2026年12月期第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260819/281A_1600_G-インフォメティス_2026年12月期第2四半期決算説明資料.pdf"", ""2026年12月期第2四半期決算説明資料"")",,,,,,,,,,,2 4 48,13 19,,,,,,,13,,,,,https://www.release.tdnet.info/inbs/140120260817521863.pdf
20260819,428A,サイプレスHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819523056.pdf"", ""中期経営計画「BEYOND THE STANDARD」策定に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260819/428A_1530_サイプレスHD_中期経営計画「BEYOND THE STANDARD」策定に関するお知らせ.pdf"", ""中期経営計画「BEYOND THE STANDARD」策定に関するお知らせ"")",,,,,14,,,,,,19,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819523056.pdf
20260819,4413,ボードルア,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260817521803.pdf"", ""MBOの実施及び応募の推奨に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260819/4413_0800_ボードルア_MBOの実施及び応募の推奨に関するお知らせ.pdf"", ""MBOの実施及び応募の推奨に関するお知らせ"")",,,,,,,,,,,22 23 24,,,,,,,,10 11 19 63,,,,,https://www.release.tdnet.info/inbs/140120260817521803.pdf
20260819,5038,G-eWeLL,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522857.pdf"", ""2026年12月期第2四半期決算説明会 質疑応答(要旨)書き起こし"")","=HYPERLINK(""pdf_tmp/20260819/5038_1100_G-eWeLL_2026年12月期第2四半期決算説明会 質疑応答(要旨)書き起こし.pdf"", ""2026年12月期第2四半期決算説明会 質疑応答(要旨)書き起こし"")",,,4,,4,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819522857.pdf
20260819,614A,P-山八商事,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260814520230.pdf"", ""TOKYO PRO Market 上場目的の開示資料"")","=HYPERLINK(""pdf_tmp/20260819/614A_0800_P-山八商事_TOKYO PRO Market 上場目的の開示資料.pdf"", ""TOKYO PRO Market 上場目的の開示資料"")",,,,,,,,,,,13,,,,,,,,15,,,,,https://www.release.tdnet.info/inbs/140120260814520230.pdf
20260819,3455,R-HCM,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260818522649.pdf"", ""国内不動産信託受益権の取得及び貸借に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260819/3455_1545_R-HCM_国内不動産信託受益権の取得及び貸借に関するお知らせ.pdf"", ""国内不動産信託受益権の取得及び貸借に関するお知らせ"")",,,,,,,,,,,11 15 19 23 27 31 35,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260818522649.pdf
20260819,3463,R-いちごホテル,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522746.pdf"", ""資金の借入のお知らせ"")","=HYPERLINK(""pdf_tmp/20260819/3463_1530_R-いちごホテル_資金の借入のお知らせ.pdf"", ""資金の借入のお知らせ"")",,,,,,,2,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819522746.pdf
20260819,3856,Abalance,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522868.pdf"", ""(訂正・数値データ訂正)「2026年3月期第1四半期決算短信〔日本基準〕(連結)」の一部訂正について"")","=HYPERLINK(""pdf_tmp/20260819/3856_1120_Abalance_(訂正・数値データ訂正)「2026年3月期第1四半期決算短信〔日本基準〕(連結)」の一部訂正について.pdf"", ""(訂正・数値データ訂正)「2026年3月期第1四半期決算短信〔日本基準〕(連結)」の一部訂正について"")",,,,,,,,,,,,6,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819522868.pdf
20260819,3856,Abalance,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522973.pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260819/3856_1230_Abalance_2026年3月期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,17,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819522973.pdf
20260819,4575,G-CANBAS,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819523013.pdf"", ""2026年6月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260819/4575_1530_G-CANBAS_2026年6月期 決算説明会資料.pdf"", ""2026年6月期 決算説明会資料"")",,,,,,,,,,,,,,,,,,,16,,,,,https://www.release.tdnet.info/inbs/140120260819523013.pdf
20260819,4596,G-窪田製薬HD,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260819522963.pdf"", ""2026年12月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260819/4596_1140_G-窪田製薬HD_2026年12月期 第2四半期決算説明資料.pdf"", ""2026年12月期 第2四半期決算説明資料"")",,,,,,,,,,,31,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260819522963.pdf
