日付,コード,PDFファイル名,キーワード,ヒットページ数,記述されているページ,検索キーワード一覧
20260213,7409,7409_1130_G-AeroEdge_2026年6月期 第2四半期 決算補足資料.pdf,増産 上方修正 シェア拡大 大幅 想定以上,21,3 5 8 10 11 12 13 14 16 18 19 20 21 22 23 24 25 27 28 30 32,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,3546,3546_0240_アレンザHD_コーナン商事株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに資本業務提携契約の締結に関するお知らせ.pdf,シェア拡大 大幅,18,9 15 16 20 21 27 29 56 58 78 83 84 87 88 94 102 103 121,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,9218,9218_1600_G-メンタルヘルスT_2025年12月期通期決算説明資料.pdf,価格転嫁 下方修正 大幅 未達 値上 想定以上 悪化,18,4 6 7 8 9 12 13 17 21 25 33 39 40 64 65 66 67 68,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,3923,3923_1530_ラクス_2026年3月期第3四半期決算説明資料.pdf,大幅 計画を下 価格改定 上方修正 シェア拡大 トップシェア,16,6 10 12 17 19 20 22 35 37 38 50 58 59 60 68 72,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,4919,4919_1540_ミルボン_2025年12月期(第66期)株式会社ミルボン決算説明資料.pdf,価格改定 下方修正 未達 計画を上 計画以 大幅 計画を下 上方修正,16,3 4 5 6 7 9 10 11 12 13 15 20 29 34 35 45,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,4985,4985_1530_アース製薬_2025年12月期 決算説明資料.pdf,価格改定 上方修正 価格転嫁 大幅 計画を下 シェア拡大 未達 計画を上,14,2 4 5 6 7 9 11 12 13 18 20 27 28 38,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,6229,6229_1400_オーケーエム_2026年3月期第3四半期決算説明資料.pdf,上方修正 大幅 計画を下 需要が増 トップシェア 増産,14,2 14 15 16 21 22 23 29 31 35 39 42 49 50,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,2579,2579_1530_コカ・コーラBJH_2025年 通期 決算説明会.pdf,上方修正 大幅 価格改定 計画を上,12,3 5 7 8 9 10 13 14 17 18 20 25,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,9268,9268_1530_オプティマス_2026年3月期第3四半期 決算説明資料.pdf,需要回復 悪化 上方修正 下方修正 大幅 計画を下 需要の回復 需要が低 トップシェア,12,2 10 15 23 24 25 29 30 33 34 41 61,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260213,149A,149A_1530_G-シンカ_2025年12月期 通期決算説明資料(事業計画及び成長可能性に関する事項).pdf,大幅 値上 悪化 シェア拡大 トップシェア,11,4 9 10 28 31 32 33 44 59 75 76,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
