日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260519,2060,フィード・ワン,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260513527612.pdf"", ""2026年3月期 通期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260519/2060_1000_フィード・ワン_2026年3月期 通期決算説明資料.pdf"", ""2026年3月期 通期決算説明資料"")",,26,18 43,,,,,,,,10,,,,,,,,16 23,,38,16,,https://www.release.tdnet.info/inbs/140120260513527612.pdf
20260519,6023,ダイハツインフィ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540468.pdf"", ""2026年3月期 決算説明会プレゼンテーション資料"")","=HYPERLINK(""pdf_tmp/20260519/6023_1630_ダイハツインフィ_2026年3月期 決算説明会プレゼンテーション資料.pdf"", ""2026年3月期 決算説明会プレゼンテーション資料"")",31 34,,34,22,,,23,,,,13 17,4 42,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260519540468.pdf
20260519,5933,アルインコ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540362.pdf"", ""2026年3月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260519/5933_0930_アルインコ_2026年3月期 決算説明会資料.pdf"", ""2026年3月期 決算説明会資料"")",,,17 18 20,,,,,,,,24 37,,,,20,,,,5,,,24,,https://www.release.tdnet.info/inbs/140120260519540362.pdf
20260519,6381,アネスト岩田,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540772.pdf"", ""2026年3月期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260519/6381_1530_アネスト岩田_2026年3月期決算説明会資料.pdf"", ""2026年3月期決算説明会資料"")",,,,10,7,6,,,,5 6,,,4,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260519540772.pdf
20260519,8084,RYODEN,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260420506749.pdf"", ""2026年3月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260519/8084_1500_RYODEN_2026年3月期 決算説明会資料.pdf"", ""2026年3月期 決算説明会資料"")",,,,,,,,,,34,43,,,,27,,,,30 33,,30,,,https://www.release.tdnet.info/inbs/140120260420506749.pdf
20260519,4275,カーリット,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540457.pdf"", ""2026年3月期 決算説明会資料のお知らせ"")","=HYPERLINK(""pdf_tmp/20260519/4275_1300_カーリット_2026年3月期 決算説明会資料のお知らせ.pdf"", ""2026年3月期 決算説明会資料のお知らせ"")",,18 22,13,,,,,,,,21,,,,,13,,,,,,,,https://www.release.tdnet.info/inbs/140120260519540457.pdf
20260519,5194,相模ゴム,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519541054.pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260519/5194_1645_相模ゴム_2026年3月期 決算短信〔日本基準〕(連結).pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")",,,4,4,6,,,,,,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260519541054.pdf
20260519,6958,CMK,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540410.pdf"", ""中期経営計画"")","=HYPERLINK(""pdf_tmp/20260519/6958_1500_CMK_中期経営計画.pdf"", ""中期経営計画"")",,26,,,,,,,,12,,,12,,,,,,,,5,,,https://www.release.tdnet.info/inbs/140120260519540410.pdf
20260519,9347,日本管財HD,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260518540299.pdf"", ""2026年3月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260519/9347_1400_日本管財HD_2026年3月期 決算説明資料.pdf"", ""2026年3月期 決算説明資料"")",,,,24,,,,,,,33,,,,,,,,5 70,,,23 59,,https://www.release.tdnet.info/inbs/140120260518540299.pdf
20260519,2114,フジ日本,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260519540799.pdf"", ""(訂正・数値データ訂正)「2026年3月期決算短信〔日本基準〕(連結)」の一部訂正のお知らせ"")","=HYPERLINK(""pdf_tmp/20260519/2114_1530_フジ日本_(訂正・数値データ訂正)「2026年3月期決算短信〔日本基準〕(連結)」の一部訂正のお知らせ.pdf"", ""(訂正・数値データ訂正)「2026年3月期決算短信〔日本基準〕(連結)」の一部訂正のお知らせ"")",,10,,,,8,,,,,8,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260519540799.pdf
