日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260323,3998,G-すららネット,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260319585779.pdf"", ""《訂正》「2025年12月期 決算補足説明資料」の一部訂正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260323/3998_1300_G-すららネット_《訂正》「2025年12月期 決算補足説明資料」の一部訂正に関するお知らせ.pdf"", ""《訂正》「2025年12月期 決算補足説明資料」の一部訂正に関するお知らせ"")",,,,,,,,11,,12,17,,,,,,,,,,,18 32,,https://www.release.tdnet.info/inbs/140120260319585779.pdf
20260323,5126,G-ポーターズ,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260323586383.pdf"", ""事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260323/5126_1530_G-ポーターズ_事業計画及び成長可能性に関する事項.pdf"", ""事業計画及び成長可能性に関する事項"")",,,28 29,,,,,,,,28 29 33 34 36,,,,,,,,39,,,9,,https://www.release.tdnet.info/inbs/140120260323586383.pdf
20260323,6905,コーセル,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260319585615.pdf"", ""2026年5月期 第3四半期決算説明資料(スクリプト付き)"")","=HYPERLINK(""pdf_tmp/20260323/6905_1130_コーセル_2026年5月期 第3四半期決算説明資料(スクリプト付き).pdf"", ""2026年5月期 第3四半期決算説明資料(スクリプト付き)"")",,20,,,,7 13,,,,,6,,,,5,,,,,,,,,https://www.release.tdnet.info/inbs/140120260319585615.pdf
20260323,6905,コーセル,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260319585610.pdf"", ""2026年5月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260323/6905_1130_コーセル_2026年5月期 第3四半期決算説明資料.pdf"", ""2026年5月期 第3四半期決算説明資料"")",,20,,,,7,,,,,6,,,,5,,,,,,,,,https://www.release.tdnet.info/inbs/140120260319585610.pdf
20260323,6905,コーセル,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260319585596.pdf"", ""2026年5月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260323/6905_1130_コーセル_2026年5月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年5月期 第3四半期決算短信〔日本基準〕(連結)"")",,5,,,,,,,,,4,,,,4,,,,,,,,,https://www.release.tdnet.info/inbs/140120260319585596.pdf
20260323,2929,ファーマフーズ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260319585049.pdf"", ""2026年7月期 第2四半期(中間期)決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260323/2929_1530_ファーマフーズ_2026年7月期 第2四半期(中間期)決算説明会資料.pdf"", ""2026年7月期 第2四半期(中間期)決算説明会資料"")",,,,,,,,,,,,,,,,,11,,,,,22,,https://www.release.tdnet.info/inbs/140120260319585049.pdf
20260323,4563,G-アンジェス,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260323586531.pdf"", ""事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260323/4563_1600_G-アンジェス_事業計画及び成長可能性に関する事項.pdf"", ""事業計画及び成長可能性に関する事項"")",,,,,,,,,,,54,,,,,,,,28,,,,,https://www.release.tdnet.info/inbs/140120260323586531.pdf
20260323,4583,G-カイオム,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260323586050.pdf"", ""事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260323/4583_1530_G-カイオム_事業計画及び成長可能性に関する事項.pdf"", ""事業計画及び成長可能性に関する事項"")",,,,,,,,,,,51,,,,,,,,51,,,,,https://www.release.tdnet.info/inbs/140120260323586050.pdf
20260323,9973,KOZOHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260323586822.pdf"", ""新・中期経営計画(FY2026-FY2028)策定に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260323/9973_1720_KOZOHD_新・中期経営計画(FY2026-FY2028)策定に関するお知らせ.pdf"", ""新・中期経営計画(FY2026-FY2028)策定に関するお知らせ"")",,,,,,,,,,10,24,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260323586822.pdf
20260323,1329,iS225,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260323586159.pdf"", ""2026年2月期 決算短信(2025年8月10日~2026年2月9日)"")","=HYPERLINK(""pdf_tmp/20260323/1329_1200_iS225_2026年2月期 決算短信(2025年8月10日~2026年2月9日).pdf"", ""2026年2月期 決算短信(2025年8月10日~2026年2月9日)"")",,,,,,,,,,,,,,,,,,,6,,,,,https://www.release.tdnet.info/inbs/140120260323586159.pdf
