日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260715,5078,セレコーポレーション,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260701586418.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/5078_1400_セレコーポレーション_2027年2月期 第1四半期決算短信〔日本基準〕(連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")",5,,,5,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260701586418.pdf
20260715,523A,G-セイワHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594632.pdf"", ""2026年5月期決算 IR関連Q&Aに関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/523A_1530_G-セイワHD_2026年5月期決算 IR関連Q&Aに関するお知らせ.pdf"", ""2026年5月期決算 IR関連Q&Aに関するお知らせ"")",,,,3,,,,,,,,1,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594632.pdf
20260715,5574,G-ABEJA,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594186.pdf"", ""2026年8月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/5574_1530_G-ABEJA_2026年8月期 第3四半期 決算説明資料.pdf"", ""2026年8月期 第3四半期 決算説明資料"")",,,,,,,10 11,,,,10 33 56 73,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594186.pdf
20260715,5817,JMACS,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593902.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(非連結)"")","=HYPERLINK(""pdf_tmp/20260715/5817_1400_JMACS_2027年2月期 第1四半期決算短信〔日本基準〕(非連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(非連結)"")",,,,,,,,,,,4,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260715593902.pdf
20260715,597A,P-and US,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593235.pdf"", ""東京証券取引所 TOKYO PRO Market 及び 福岡証券取引所 Fukuoka PRO Market 上場に伴う当社決算情報等のお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/597A_0800_P-and US_東京証券取引所 TOKYO PRO Market 及び 福岡証券取引所 Fukuoka PRO Market 上場に伴う当社決算情報等のお知らせ.pdf"", ""東京証券取引所 TOKYO PRO Market 及び 福岡証券取引所 Fukuoka PRO Market 上場に伴う当社決算情報等のお知らせ"")",,,,,,,,,,,2 7,,,,,,,,2,,,,,https://www.release.tdnet.info/inbs/140120260714593235.pdf
20260715,6047,Gunosy,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594095.pdf"", ""2026年5月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/6047_1530_Gunosy_2026年5月期 決算短信〔日本基準〕(連結).pdf"", ""2026年5月期 決算短信〔日本基準〕(連結)"")",,,,,,,,,,4,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594095.pdf
20260715,6047,Gunosy,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594110.pdf"", ""2026年5月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/6047_1530_Gunosy_2026年5月期 決算説明資料.pdf"", ""2026年5月期 決算説明資料"")",,,,,13,,,,,,,,,,,,,,54,,,,,https://www.release.tdnet.info/inbs/140120260715594110.pdf
20260715,6532,ベイカレント,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260708589954.pdf"", ""2027年2月期 第1四半期決算補足資料"")","=HYPERLINK(""pdf_tmp/20260715/6532_1530_ベイカレント_2027年2月期 第1四半期決算補足資料.pdf"", ""2027年2月期 第1四半期決算補足資料"")",,,,,,,,,,,,3 4 5,,,,,28,,,,,,,https://www.release.tdnet.info/inbs/140120260708589954.pdf
20260715,6866,日置電,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594249.pdf"", ""2026年12月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/6866_1530_日置電_2026年12月期 第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年12月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,,,,,,,,,4 5,,,,,,4 5,,,,,,,https://www.release.tdnet.info/inbs/140120260715594249.pdf
20260715,7065,ユーピーアール,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593864.pdf"", ""2026年8月期  第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/7065_1230_ユーピーアール_2026年8月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期  第3四半期決算短信〔日本基準〕(連結)"")",,,,4,,,,,,,,,4,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593864.pdf
