日付,コード,PDFファイル名,キーワード,ヒットページ数,記述されているページ,検索キーワード一覧
20260212,146A,146A_1600_コロンビア・ワークス_2025年12月期 通期決算説明資料.pdf,上方修正 大幅 未達 計画を上 計画以 悪化,9,2 3 6 8 12 13 18 19 29,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,147A,147A_1530_G-ソラコム_2026年3月期第3四半期決算説明資料.pdf,上方修正 大幅,9,2 5 6 7 8 9 10 26 38,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2982,2982_1500_ADワークスグループ_企業価値向上に向けた成長戦略.pdf,計画を上 需要の回復 シェア拡大 大幅,9,3 6 7 8 10 11 12 20 24,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3465,3465_1530_ケイアイスター不動産_2026年3月期 第3四半期 決算説明資料.pdf,上方修正 シェア拡大 悪化,9,7 8 9 10 22 24 50 51 52,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3769,3769_1600_GMOPG_2026年9月期 第1四半期決算説明会.pdf,シェア拡大 値上 計画以,9,12 13 16 17 18 19 45 47 55,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4054,4054_1530_G-日本情報C_2026年6月期 第2四半期決算説明資料.pdf,シェア拡大,9,16 19 24 27 28 29 31 32 33,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4416,4416_1600_G-TrueData_2026年3月期 第3四半期決算および新中期経営計画説明資料(事業計画及び成長可能性に関する事項).pdf,下方修正 計画を下 値上 想定以上 トップシェア 大幅,9,3 7 11 12 27 30 39 50 69,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4912,4912_1530_ライオン_2025年12月期_決算説明資料.pdf,計画を上 値上 大幅,8,3 6 11 14 21 25 28 33,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,5563,5563_1300_新日本電工_2025年12月期 決算説明資料.pdf,大幅 悪化 価格改定 計画を上,8,7 9 10 11 12 13 18 20,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,5711,5711_1530_三菱マ_2026年3月期 第3四半期決算補足説明資料.pdf,悪化 上方修正 値上,8,4 5 6 7 8 12 16 17,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,7245,7245_1400_大同メタル_2026年3月期 第3四半期 決算補足説明資料.pdf,価格転嫁 値上 需要回復 シェア拡大 悪化,8,3 9 10 11 12 13 15 17,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,9337,9337_1530_G-トリドリ_2025年12月期 通期 決算説明資料(事業計画及び成長可能性に関する資料).pdf,大幅 悪化,8,4 6 21 25 26 33 34 59,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3182,3182_1530_オイシックスラ大地_2026年3月期 第3四半期決算FAQ.pdf,未達 悪化 計画を上 値上,7,5 11 18 28 29 30 32,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4633,4633_1500_サカタインクス_2025年12月期 決算説明会資料.pdf,価格改定 需要回復 需要が増 シェア拡大 大幅,7,22 23 24 25 30 40 58,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4912,4912_1530_ライオン_2025年12月期 決算短信〔IFRS〕(連結).pdf,大幅 悪化,7,5 6 7 8 9 14 33,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,5161,5161_1600_西川ゴム_2026年3月期第3四半期 決算補足説明資料.pdf,想定以上 上方修正 シェア拡大 大幅 トップシェア グローバルニッチトップ,7,4 7 15 16 23 30 31,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,6078,6078_1630_バリューHR_2025年12月期決算説明資料.pdf,大幅 価格改定 需要が増 シェア拡大,7,13 20 23 25 26 28 55,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,195A,195A_1530_G-MUSCAT G_2026年3月期 第3四半期 決算説明資料.pdf,大幅 悪化,6,13 14 16 18 19 20,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2170,2170_1200_LINK&M_2025年12月期 決算短信〔IFRS〕(連結).pdf,大幅 シェア拡大,6,4 5 6 7 8 10,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2264,2264_1400_森永乳_2026年3月期第3四半期決算説明会.pdf,価格改定 計画を上 大幅 悪化 増産,6,2 4 5 8 11 15,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2269,2269_1530_明治HD_2026年3月期 第3四半期決算短信〔日本基準〕(連結).pdf,価格改定 大幅,6,4 5 6 7 8 26,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3182,3182_1530_オイシックスラ大地_2026年3月期 第3四半期決算説明資料.pdf,悪化 未達 大幅,6,3 8 11 15 23 40,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3698,3698_1530_CRI・MW_2026年9月期第1四半期決算補足説明資料.pdf,大幅 シェア拡大,6,8 19 31 33 37 45,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4398,4398_1530_BBSec_2026年6月期 第2四半期(中間期)決算説明資料.pdf,大幅 トップシェア,6,3 4 11 13 26 28,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4418,4418_1530_G-JDSC_2026年6月期 第2四半期決算説明資料.pdf,上方修正 悪化 大幅 想定以上,6,3 39 40 59 67 69,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,6699,6699_1500_ダイヤHD_2026年3月期第3四半期決算説明資料.pdf,増産 悪化 レアアース,6,2 3 4 5 7 8,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,7201,7201_1655_日産自_日産自動車、2025年度第3四半期決算を発表.pdf,上方修正 価格改定,6,1 10 14 24 25 37,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,8061,8061_1400_西華産_2026年3月期第3四半期決算説明資料.pdf,上方修正 トップシェア 大幅,6,5 8 13 16 38 57,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,141A,141A_1530_G-トライアル_中期経営計画(2027年6月期~2029年6月期).pdf,大幅,5,13 18 28 29 30,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,1952,1952_1300_新日空調_2026年3月期 第3四半期決算説明資料.pdf,大幅 上方修正 計画を上 計画を下,5,2 4 6 13 14,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2146,2146_1810_UTグループ_2026年3月期 第3四半期 決算説明資料.pdf,大幅 悪化 下方修正 未達,5,4 9 23 26 37,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2585,2585_1600_ライフドリンクC_2026年3月期 第3四半期決算補足説明資料.pdf,増産 価格改定 下方修正 悪化 値上,5,3 7 11 14 27,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,2914,2914_1530_JT_2025年度 決算説明会資料(Allプレゼンテーション).pdf,シェア拡大 大幅 価格改定,5,14 20 23 25 28,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3252,3252_1530_地主_2025年12月期決算説明資料.pdf,上方修正 大幅 悪化 需要が増,5,8 25 28 40 68,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,3901,3901_1530_マークラインズ_2025年12月期 決算補足説明資料.pdf,価格改定 悪化,5,10 18 34 43 47,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4068,4068_1600_G-ベイシス_2026年6月期第2四半期 決算説明資料.pdf,大幅 シェア拡大,5,9 22 24 26 28,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4374,4374_1130_G-ロボペイ_2025年12月期通期決算説明資料(事業計画及び成長可能性に関する事項).pdf,大幅 悪化,5,4 29 30 110 113,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
20260212,4478,4478_1530_G-フリー_2026年6月期第2四半期 決算説明資料.pdf,上方修正 大幅,5,2 13 22 32 65,価格交渉 / 増産 / 価格改定 / 価格転嫁 / 値上 / 想定以上 / 上方修正 / 下方修正 / 想定以下 / 未達 / 大幅 / 計画を上 / 計画を下 / 計画以 / 需要回復 / 需要の回復 / 需要が増 / 需要が低 / 悪化 / グローバルニッチトップ / トップシェア / シェア拡大 / レアアース
