日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260318,7080,G-スポーツフィール,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260317583647.pdf"", ""事業計画及び成長可能性に関する事項 中期経営計画 2025年~2027年(上方修正)"")","=HYPERLINK(""pdf_tmp/20260318/7080_1700_G-スポーツフィール_事業計画及び成長可能性に関する事項 中期経営計画 2025年~2027年(上方修正).pdf"", ""事業計画及び成長可能性に関する事項 中期経営計画 2025年~2027年(上方修正)"")",,,,,,,1 22 24,,,,21,,,,,,,,42,,,,,https://www.release.tdnet.info/inbs/140120260317583647.pdf
20260318,6306,日工,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584553.pdf"", ""2026年3月期第3四半期決算説明会スクリプト_質疑応答スクリプト"")","=HYPERLINK(""pdf_tmp/20260318/6306_1530_日工_2026年3月期第3四半期決算説明会スクリプト_質疑応答スクリプト.pdf"", ""2026年3月期第3四半期決算説明会スクリプト_質疑応答スクリプト"")",28,,,,,,,,,,,,,,,,,,27,,,,,https://www.release.tdnet.info/inbs/140120260318584553.pdf
20260318,7080,G-スポーツフィール,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260317583652.pdf"", ""中期経営計画の上方修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260318/7080_1700_G-スポーツフィール_中期経営計画の上方修正に関するお知らせ.pdf"", ""中期経営計画の上方修正に関するお知らせ"")",,,,,,,1,,,,,,1,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260317583652.pdf
20260318,1429,日本アクア,資本コストや株価,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584372.pdf"", ""資本コストや株価を意識した経営の実現に向けた対応の更新について"")","=HYPERLINK(""pdf_tmp/20260318/1429_1530_日本アクア_資本コストや株価を意識した経営の実現に向けた対応の更新について.pdf"", ""資本コストや株価を意識した経営の実現に向けた対応の更新について"")",,,,,,,,,,,,,,,,,,,,,,9 13,,https://www.release.tdnet.info/inbs/140120260318584372.pdf
20260318,2183,リニカル,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584643.pdf"", ""業績予想及び配当予想の修正並びに取締役等の報酬の減額に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260318/2183_1700_リニカル_業績予想及び配当予想の修正並びに取締役等の報酬の減額に関するお知らせ.pdf"", ""業績予想及び配当予想の修正並びに取締役等の報酬の減額に関するお知らせ"")",,,,,,,,2,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260318584643.pdf
20260318,3238,セントラル総,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260317583305.pdf"", ""2026年3月期 通期連結業績予想および配当予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260318/3238_1530_セントラル総_2026年3月期 通期連結業績予想および配当予想の修正に関するお知らせ.pdf"", ""2026年3月期 通期連結業績予想および配当予想の修正に関するお知らせ"")",,,,,,,,1,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260317583305.pdf
20260318,3267,フィル・カンパニー,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584234.pdf"", ""役員向けおよび従業員向け株式給付信託の終了ならびに自己株式の消却方針に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260318/3267_1530_フィル・カンパニー_役員向けおよび従業員向け株式給付信託の終了ならびに自己株式の消却方針に関するお知らせ.pdf"", ""役員向けおよび従業員向け株式給付信託の終了ならびに自己株式の消却方針に関するお知らせ"")",,,,,,,,,,,,,,,,,,,2,,,,,https://www.release.tdnet.info/inbs/140120260318584234.pdf
20260318,3468,R-スターアジア,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584196.pdf"", ""2026年1月期 決算短信(REIT)"")","=HYPERLINK(""pdf_tmp/20260318/3468_1530_R-スターアジア_2026年1月期 決算短信(REIT).pdf"", ""2026年1月期 決算短信(REIT)"")",,,,,,,,,,,4 7,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260318584196.pdf
20260318,3634,ソケッツ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260317583152.pdf"", ""上場維持基準の適合に向けた計画の進捗状況について KDDI株式会社による株式売却の実施"")","=HYPERLINK(""pdf_tmp/20260318/3634_1530_ソケッツ_上場維持基準の適合に向けた計画の進捗状況について KDDI株式会社による株式売却の実施.pdf"", ""上場維持基準の適合に向けた計画の進捗状況について KDDI株式会社による株式売却の実施"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260317583152.pdf
20260318,3848,データアプリ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260318584189.pdf"", ""2026年3月期第3四半期決算 質疑応答集"")","=HYPERLINK(""pdf_tmp/20260318/3848_1100_データアプリ_2026年3月期第3四半期決算 質疑応答集.pdf"", ""2026年3月期第3四半期決算 質疑応答集"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260318584189.pdf
