日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260428,4204,積水化,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260427511507.pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260428/4204_1530_積水化_2026年3月期 決算短信〔日本基準〕(連結).pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")",,,,31,,,,,,,4 6 30 31,,,,30,30,,30,6 31,,,,,https://www.release.tdnet.info/inbs/140120260427511507.pdf
20260428,2175,SMS,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428513293.pdf"", ""2026年3月期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260428/2175_1530_SMS_2026年3月期決算説明会資料.pdf"", ""2026年3月期決算説明会資料"")",,,,,,,,,,4,15 85,,,,,,58 69 74,,9 10 29 47,,,28,,https://www.release.tdnet.info/inbs/140120260428513293.pdf
20260428,4043,トクヤマ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260415504665.pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260428/4043_0900_トクヤマ_2026年3月期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")",,,7,,,,,,,5 11,11 30,,,,,,,,6 9 11,,,,,https://www.release.tdnet.info/inbs/140120260415504665.pdf
20260428,5903,SHINPO,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428512898.pdf"", ""MBOの実施及び応募の推奨に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260428/5903_1645_SHINPO_MBOの実施及び応募の推奨に関するお知らせ.pdf"", ""MBOの実施及び応募の推奨に関するお知らせ"")",12 41 52,,,,,,,24 58,,,8 21 24 48 59,,,,,,,,11 20 46,,,,,https://www.release.tdnet.info/inbs/140120260428512898.pdf
20260428,6161,エスティック,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260427511791.pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260428/6161_1500_エスティック_2026年3月期 決算短信〔日本基準〕(連結).pdf"", ""2026年3月期 決算短信〔日本基準〕(連結)"")",,,,,,,,,,4,4 5,,4,,,,,,,,,7,,https://www.release.tdnet.info/inbs/140120260427511791.pdf
20260428,6586,マキタ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260427511319.pdf"", ""2026年3月期 決算短信〔IFRS〕(連結)"")","=HYPERLINK(""pdf_tmp/20260428/6586_1540_マキタ_2026年3月期 決算短信〔IFRS〕(連結).pdf"", ""2026年3月期 決算短信〔IFRS〕(連結)"")",,,,,8,,,,,,,,,,,,,4,4 8,,,4,,https://www.release.tdnet.info/inbs/140120260427511319.pdf
20260428,6617,東光高岳,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260427512258.pdf"", ""「2027中期経営計画」の見直しについて"")","=HYPERLINK(""pdf_tmp/20260428/6617_1500_東光高岳_「2027中期経営計画」の見直しについて.pdf"", ""「2027中期経営計画」の見直しについて"")",,12,,,,,16,,,9,,,,,,,,,,,,18,,https://www.release.tdnet.info/inbs/140120260427512258.pdf
20260428,6955,FDK,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428512823.pdf"", ""2025年度(2026年3月期) 決算説明資料および 中期事業計画「R1・R2」の振返り、 中期事業計画「R3」"")","=HYPERLINK(""pdf_tmp/20260428/6955_1530_FDK_2025年度(2026年3月期) 決算説明資料および 中期事業計画「R1・R2」の振返り、 中期事業計画「R3」.pdf"", ""2025年度(2026年3月期) 決算説明資料および 中期事業計画「R1・R2」の振返り、 中期事業計画「R3」"")",,,5,,,,,,,18,16,,,,,,,,3 4,,,,,https://www.release.tdnet.info/inbs/140120260428512823.pdf
20260428,6955,FDK,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428512860.pdf"", ""FDKグループ戦略Framework「10年の計」および中期事業計画「R3」について"")","=HYPERLINK(""pdf_tmp/20260428/6955_1530_FDK_FDKグループ戦略Framework「10年の計」および中期事業計画「R3」について.pdf"", ""FDKグループ戦略Framework「10年の計」および中期事業計画「R3」について"")",,29,,,,,,,,9,,,,,,,,,1,,,,1 6,https://www.release.tdnet.info/inbs/140120260428512860.pdf
20260428,7646,PLANT,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260427512301.pdf"", ""中期経営計画(2027年9月期~2031年9月期)の策定に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260428/7646_1300_PLANT_中期経営計画(2027年9月期~2031年9月期)の策定に関するお知らせ.pdf"", ""中期経営計画(2027年9月期~2031年9月期)の策定に関するお知らせ"")",,,13,,,,,,,1 3 4,15,,1,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260427512301.pdf
20260428,2175,SMS,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428513148.pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260428/2175_1530_SMS_2026年3月期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,,,19,,,,4,,8 9,,,,,https://www.release.tdnet.info/inbs/140120260428513148.pdf
20260428,2175,SMS,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260428513257.pdf"", ""減損損失の計上及び個別決算における関係会社株式評価損の計上 並びに2026年3月期通期連結業績予想と実績値との差異に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260428/2175_1530_SMS_減損損失の計上及び個別決算における関係会社株式評価損の計上 並びに2026年3月期通期連結業績予想と実績値との差異に関するお知らせ.pdf"", ""減損損失の計上及び個別決算における関係会社株式評価損の計上 並びに2026年3月期通期連結業績予想と実績値との差異に関するお知らせ"")",,,,,,,,,,2,2,,,,,,,,1,,,,,https://www.release.tdnet.info/inbs/140120260428513257.pdf
