日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260306,2311,エプコ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577518.pdf"", ""2025年12月期本決算 経営計画説明会 説明内容書き起こし資料"")","=HYPERLINK(""pdf_tmp/20260306/2311_1530_エプコ_2025年12月期本決算 経営計画説明会 説明内容書き起こし資料.pdf"", ""2025年12月期本決算 経営計画説明会 説明内容書き起こし資料"")",,,18,,,,,,,,10 25,,23,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577518.pdf
20260306,2311,エプコ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577526.pdf"", ""2025年12月期本決算 経営計画説明会 質疑応答要旨"")","=HYPERLINK(""pdf_tmp/20260306/2311_1530_エプコ_2025年12月期本決算 経営計画説明会 質疑応答要旨.pdf"", ""2025年12月期本決算 経営計画説明会 質疑応答要旨"")",,,,,,,6,6,,,,,2,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577526.pdf
20260306,2311,エプコ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577524.pdf"", ""第26回 経営計画説明会資料"")","=HYPERLINK(""pdf_tmp/20260306/2311_1530_エプコ_第26回 経営計画説明会資料.pdf"", ""第26回 経営計画説明会資料"")",,,18 20,,,,,,,,9,,,,,,,,11,,,,,https://www.release.tdnet.info/inbs/140120260306577524.pdf
20260306,2438,G-アスカネット,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260305576780.pdf"", ""2026年4月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260306/2438_1530_G-アスカネット_2026年4月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年4月期第3四半期決算短信〔日本基準〕(連結)"")",,,4,,4,5,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260305576780.pdf
20260306,4316,G-ビーマップ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577653.pdf"", ""第三者割当により発行される株式の募集に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/4316_1600_G-ビーマップ_第三者割当により発行される株式の募集に関するお知らせ.pdf"", ""第三者割当により発行される株式の募集に関するお知らせ"")",,,,,,,,,,,1,,,,,,1,,2 5,,,,,https://www.release.tdnet.info/inbs/140120260306577653.pdf
20260306,9072,ニッコンHD,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577455.pdf"", ""「第14次中期経営計画の策定」に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/9072_1400_ニッコンHD_「第14次中期経営計画の策定」に関するお知らせ.pdf"", ""「第14次中期経営計画の策定」に関するお知らせ"")",,,,13,,,,,,6 8 15,,,18,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577455.pdf
20260306,3547,ユニシアHD,月次,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577411.pdf"", ""月次速報(2026年2月度)"")","=HYPERLINK(""pdf_tmp/20260306/3547_1600_ユニシアHD_月次速報(2026年2月度).pdf"", ""月次速報(2026年2月度)"")",,,2,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577411.pdf
20260306,4595,ミズホメディー,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260304575879.pdf"", ""2025年12月期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260306/4595_1530_ミズホメディー_2025年12月期 決算補足説明資料.pdf"", ""2025年12月期 決算補足説明資料"")",,,,,,,,8,,,6 7 8,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260304575879.pdf
20260306,6040,G-日本スキー,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260305576166.pdf"", ""2026年7月期第2四半期 決算短信[日本基準](連結)"")","=HYPERLINK(""pdf_tmp/20260306/6040_1530_G-日本スキー_2026年7月期第2四半期 決算短信[日本基準](連結).pdf"", ""2026年7月期第2四半期 決算短信[日本基準](連結)"")",,,,,6,,,,,,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260305576166.pdf
20260306,8013,ナイガイ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260304575933.pdf"", ""通期連結業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/8013_1530_ナイガイ_通期連結業績予想の修正に関するお知らせ.pdf"", ""通期連結業績予想の修正に関するお知らせ"")",,,,,,1,,,,1,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260304575933.pdf
20260306,1803,清水建,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260305576843.pdf"", ""株式の売出しに関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/1803_1530_清水建_株式の売出しに関するお知らせ.pdf"", ""株式の売出しに関するお知らせ"")",,,,,,,,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260305576843.pdf
20260306,1873,日本ハウスHD,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260305576938.pdf"", ""2026年4月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260306/1873_1530_日本ハウスHD_2026年4月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年4月期第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,,,,,,4,,,,,,,,https://www.release.tdnet.info/inbs/140120260305576938.pdf
20260306,2353,日駐,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260204547040.pdf"", ""2026年7月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260306/2353_1530_日駐_2026年7月期第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年7月期第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,6,,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260204547040.pdf
20260306,3181,買取王国,月次,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577164.pdf"", ""2026年2月 月次売上概況"")","=HYPERLINK(""pdf_tmp/20260306/3181_1430_買取王国_2026年2月 月次売上概況.pdf"", ""2026年2月 月次売上概況"")",,,,,,,,,,,1,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577164.pdf
20260306,3696,セレス,資本コストや株価,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577175.pdf"", ""資本コストや株価を意識した経営の実現に向けた対応について(アップデート)"")","=HYPERLINK(""pdf_tmp/20260306/3696_1200_セレス_資本コストや株価を意識した経営の実現に向けた対応について(アップデート).pdf"", ""資本コストや株価を意識した経営の実現に向けた対応について(アップデート)"")",,,,,,,,,,,,,,,,,,,,,,19,,https://www.release.tdnet.info/inbs/140120260306577175.pdf
20260306,3854,アイル,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260305576562.pdf"", ""2026年7月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260306/3854_1540_アイル_2026年7月期 第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年7月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,,,5,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260305576562.pdf
20260306,401A,R-霞ヶ関ホテル,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577440.pdf"", ""ホテル運営実績に関するお知らせ(2026年1月度)"")","=HYPERLINK(""pdf_tmp/20260306/401A_1530_R-霞ヶ関ホテル_ホテル運営実績に関するお知らせ(2026年1月度).pdf"", ""ホテル運営実績に関するお知らせ(2026年1月度)"")",,,,,,,,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577440.pdf
20260306,4894,G-クオリプス,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577169.pdf"", ""ヒト(同種)iPS 細胞由来心筋細胞シートの条件及び期限付き製造販売承認の取得について"")","=HYPERLINK(""pdf_tmp/20260306/4894_1100_G-クオリプス_ヒト(同種)iPS 細胞由来心筋細胞シートの条件及び期限付き製造販売承認の取得について.pdf"", ""ヒト(同種)iPS 細胞由来心筋細胞シートの条件及び期限付き製造販売承認の取得について"")",,,,,,,,,,,,,,,,,,,1,,,,,https://www.release.tdnet.info/inbs/140120260306577169.pdf
20260306,6201,豊田織,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577543.pdf"", ""(変更)「トヨタ不動産株式会社による当社株式に対する公開買付けに関する賛同及び応募推奨の意見表明のお知らせ」の一部変更について"")","=HYPERLINK(""pdf_tmp/20260306/6201_1630_豊田織_(変更)「トヨタ不動産株式会社による当社株式に対する公開買付けに関する賛同及び応募推奨の意見表明のお知らせ」の一部変更について.pdf"", ""(変更)「トヨタ不動産株式会社による当社株式に対する公開買付けに関する賛同及び応募推奨の意見表明のお知らせ」の一部変更について"")",,,,,,,,,,,25,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577543.pdf
20260306,6201,豊田織,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577529.pdf"", ""株式会社豊田自動織機(証券コード:6201)の株券等に対する公開買付けの買付条件等の変更に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/6201_1630_豊田織_株式会社豊田自動織機(証券コード_6201)の株券等に対する公開買付けの買付条件等の変更に関するお知らせ.pdf"", ""株式会社豊田自動織機(証券コード:6201)の株券等に対する公開買付けの買付条件等の変更に関するお知らせ"")",,,,,,,,,,,22,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577529.pdf
20260306,7203,トヨタ自,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577638.pdf"", ""自己株式の公開買付けの条件等変更及び自己株式取得に係る事項の変更等に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/7203_1630_トヨタ自_自己株式の公開買付けの条件等変更及び自己株式取得に係る事項の変更等に関するお知らせ.pdf"", ""自己株式の公開買付けの条件等変更及び自己株式取得に係る事項の変更等に関するお知らせ"")",6,,,,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577638.pdf
20260306,7337,ひろぎんHD,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260304575611.pdf"", ""業績予想の修正 及び 期末配当予想の修正(増配)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/7337_1430_ひろぎんHD_業績予想の修正 及び 期末配当予想の修正(増配)に関するお知らせ.pdf"", ""業績予想の修正 及び 期末配当予想の修正(増配)に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260304575611.pdf
20260306,9229,サンウェルズ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260306577614.pdf"", ""外部弁護士からの調査報告書の受領に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260306/9229_1600_サンウェルズ_外部弁護士からの調査報告書の受領に関するお知らせ.pdf"", ""外部弁護士からの調査報告書の受領に関するお知らせ"")",,,,,,,,,,,14,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260306577614.pdf
